Site,CIMMYTID,YLD
IARI-Delhi,GID9085784,5.933700329
IARI-Delhi,GID9086267,5.665458714
IARI-Delhi,GID9086899,6.311765208
IARI-Delhi,GID9088734,6.559155266
IARI-Delhi,GID9088753,5.967832407
IARI-Delhi,GID9278904,6.050911874
IARI-Delhi,GID9279069,5.796225647
IARI-Delhi,GID9279638,6.063923711
IARI-Delhi,GID9279689,5.693773813
IARI-Delhi,GID9279696,5.076428443
IARI-Delhi,GID9279710,5.887667871
IARI-Delhi,GID9279830,5.934095863
IARI-Delhi,GID9280411,6.518810742
IARI-Delhi,GID9281222,5.500876634
IARI-Delhi,GID9281303,6.261403906
IARI-Delhi,GID9281978,5.94117184
IARI-Delhi,GID9282019,6.04167684
IARI-Delhi,GID9282140,5.944766317
IARI-Delhi,GID9282519,6.551202615
IARI-Delhi,GID9282562,6.211621098
IARI-Delhi,GID9282569,6.157755264
IARI-Delhi,GID9283000,5.598893572
IARI-Delhi,GID9283310,4.89145677
IARI-Delhi,GID9283381,6.269575206
IARI-Delhi,GID9283499,5.916613344
IARI-Delhi,GID9283537,5.770129121
IARI-Delhi,GID9283627,5.128930124
IARI-Delhi,GID9283636,6.048974846
IARI-Delhi,GID9283654,5.687163909
IARI-Delhi,GID9284047,6.13831012
IARI-Delhi,GID9284127,6.127212237
IARI-Delhi,GID9284251,6.311809865
IARI-Delhi,GID9284432,4.924868176
IARI-Delhi,GID9284619,5.311352259
IARI-Delhi,GID9284955,5.33048158
IARI-Delhi,GID9285052,5.826945057
IARI-Delhi,GID9285065,5.719906756
IARI-Delhi,GID9285175,5.372519664
IARI-Delhi,GID9285302,5.796381338
IARI-Delhi,GID9285357,6.625689112
IARI-Delhi,GID9285370,6.681028573
IARI-Delhi,GID9285557,6.10327076
IARI-Delhi,GID9285643,6.191141892
IARI-Delhi,GID9285656,6.2578348
IARI-Delhi,GID9285664,5.718207533
IARI-Delhi,GID9286014,5.825328896
IARI-Delhi,GID9286243,5.734178534
IARI-Delhi,GID9286342,6.433692464
IARI-Delhi,GID9286563,6.121448995
IARI-Delhi,GID9286765,6.588100299
IARI-Delhi,GID9286775,5.338020732
IARI-Delhi,GID9286955,6.662543313
IARI-Delhi,GID9287034,5.877739786
IARI-Delhi,GID9287186,5.733141088
IARI-Delhi,GID9287217,6.444880219
IARI-Delhi,GID9287268,6.208509206
IARI-Delhi,GID9287381,5.176568902
IARI-Delhi,GID9287490,5.961099121
IARI-Delhi,GID9287587,5.419940172
IARI-Delhi,GID9287897,5.69122096
IARI-Delhi,GID9287905,5.937201654
IARI-Delhi,GID9287911,5.846437229
IARI-Delhi,GID9288103,5.426502544
IARI-Delhi,GID9288206,5.837452328
IARI-Delhi,GID9288209,6.043714555
IARI-Delhi,GID9289097,6.039929363
IARI-Delhi,GID9289112,6.312970011
IARI-Delhi,GID9289166,5.745238006
IARI-Delhi,GID9289175,5.800887653
IARI-Delhi,GID9289851,6.117096725
IARI-Delhi,GID9289875,5.169731999
IARI-Delhi,GID9289999,6.094119488
IARI-Delhi,GID9290016,6.043364637
IARI-Delhi,GID9290028,5.734802797
IARI-Delhi,GID9290145,5.487887301
IARI-Delhi,GID9290226,5.551349994
IARI-Delhi,GID9290370,5.723927708
IARI-Delhi,GID9290382,6.183981277
IARI-Delhi,GID9290383,6.364962246
IARI-Delhi,GID9290650,5.805981368
IARI-Delhi,GID9290790,6.343235238
IARI-Delhi,GID9290958,5.76265839
IARI-Delhi,GID9290994,6.163397588
IARI-Delhi,GID9291154,6.16732785
IARI-Delhi,GID9291167,6.393672385
IARI-Delhi,GID9291221,6.266731997
IARI-Delhi,GID9291320,5.69256634
IARI-Delhi,GID9291337,5.973020583
IARI-Delhi,GID9291462,6.070094384
IARI-Delhi,GID9291538,5.896492499
IARI-Delhi,GID9291629,6.023695785
IARI-Delhi,GID9292004,4.889715757
IARI-Delhi,GID9292006,5.080277527
IARI-Delhi,GID9292142,5.616398924
IARI-Delhi,GID9292174,6.149330101
IARI-Delhi,GID9292175,5.858214277
IARI-Delhi,GID9292377,5.690921601
IARI-Delhi,GID9292459,5.643133472
IARI-Delhi,GID9292535,5.612370028
IARI-Delhi,GID9292646,5.903902616
IARI-Delhi,GID9292699,5.682882283
IARI-Delhi,GID9292868,6.491672056
IARI-Delhi,GID9292969,6.061761598
IARI-Delhi,GID9293003,5.689131943
IARI-Delhi,GID9293010,5.663918871
IARI-Delhi,GID9293142,6.029274984
IARI-Delhi,GID9293151,5.563697572
IARI-Delhi,GID9293206,5.694905094
IARI-Delhi,GID9293211,6.143100031
IARI-Delhi,GID9293212,5.903966393
IARI-Delhi,GID9293325,6.002093376
IARI-Delhi,GID9293413,5.844403028
IARI-Delhi,GID9293625,6.054058706
IIWBR-Karnal,GID9080801,5.816576578
IIWBR-Karnal,GID9080807,5.700317681
IIWBR-Karnal,GID9080809,5.829273384
IIWBR-Karnal,GID9080833,5.978819636
IIWBR-Karnal,GID9080834,6.157720074
IIWBR-Karnal,GID9080841,5.676385842
IIWBR-Karnal,GID9080875,6.413297475
IIWBR-Karnal,GID9080921,5.565316231
IIWBR-Karnal,GID9080922,5.519786196
IIWBR-Karnal,GID9081036,5.852090818
IIWBR-Karnal,GID9081224,5.84011574
IIWBR-Karnal,GID9081298,5.7628549
IIWBR-Karnal,GID9081347,5.750533569
IIWBR-Karnal,GID9081482,5.696866188
IIWBR-Karnal,GID9081587,5.574952903
IIWBR-Karnal,GID9081767,6.848470453
IIWBR-Karnal,GID9081781,5.575469484
IIWBR-Karnal,GID9081895,5.93534155
IIWBR-Karnal,GID9082176,6.358079384
IIWBR-Karnal,GID9082216,5.940705071
IIWBR-Karnal,GID9082445,5.912293548
IIWBR-Karnal,GID9082520,5.347150919
IIWBR-Karnal,GID9082954,5.811413957
IIWBR-Karnal,GID9082978,5.930193548
IIWBR-Karnal,GID9083000,5.514630737
IIWBR-Karnal,GID9083186,5.850685229
IIWBR-Karnal,GID9083234,6.268314488
IIWBR-Karnal,GID9083237,5.686277638
IIWBR-Karnal,GID9083247,6.036474241
IIWBR-Karnal,GID9083250,5.968620397
IIWBR-Karnal,GID9083401,5.772027681
IIWBR-Karnal,GID9083493,5.945273177
IIWBR-Karnal,GID9083546,5.294849195
IIWBR-Karnal,GID9083603,6.373742234
IIWBR-Karnal,GID9083675,5.682209259
IIWBR-Karnal,GID9083677,5.829568248
IIWBR-Karnal,GID9083754,5.796168133
IIWBR-Karnal,GID9083763,5.59508515
IIWBR-Karnal,GID9083998,5.688222913
IIWBR-Karnal,GID9084006,5.758757014
IIWBR-Karnal,GID9084473,6.074164223
IIWBR-Karnal,GID9084484,6.286238821
IIWBR-Karnal,GID9084526,5.470520782
IIWBR-Karnal,GID9084554,5.757013384
IIWBR-Karnal,GID9084742,5.595823123
IIWBR-Karnal,GID9085376,6.433752292
IIWBR-Karnal,GID9085407,5.739010117
IIWBR-Karnal,GID9085409,5.995091237
IIWBR-Karnal,GID9085500,5.803907002
IIWBR-Karnal,GID9085784,6.033822376
IIWBR-Karnal,GID9086267,5.730866302
IIWBR-Karnal,GID9086899,6.299357257
IIWBR-Karnal,GID9088734,6.26099762
IIWBR-Karnal,GID9088753,5.972650142
IIWBR-Karnal,GID9278904,5.949546522
IIWBR-Karnal,GID9279069,5.794864221
IIWBR-Karnal,GID9279638,5.967104771
IIWBR-Karnal,GID9279689,5.771213333
IIWBR-Karnal,GID9279696,5.296383804
IIWBR-Karnal,GID9279710,5.960204937
IIWBR-Karnal,GID9279830,5.938465487
IIWBR-Karnal,GID9280411,6.25324875
IIWBR-Karnal,GID9281222,5.609103837
IIWBR-Karnal,GID9281303,6.201599836
IIWBR-Karnal,GID9281978,5.981139898
IIWBR-Karnal,GID9282019,6.06285733
IIWBR-Karnal,GID9282140,5.971630207
IIWBR-Karnal,GID9282519,6.48352903
IIWBR-Karnal,GID9282562,5.978289537
IIWBR-Karnal,GID9282569,5.600179215
IIWBR-Karnal,GID9283000,5.764790732
IIWBR-Karnal,GID9283310,5.169898543
IIWBR-Karnal,GID9283381,5.803634905
IIWBR-Karnal,GID9283499,6.018356764
IIWBR-Karnal,GID9283537,5.896542598
IIWBR-Karnal,GID9283627,5.326043387
IIWBR-Karnal,GID9283636,6.104645995
IIWBR-Karnal,GID9283654,5.828315869
IIWBR-Karnal,GID9284047,6.0387579
IIWBR-Karnal,GID9284127,6.089079803
IIWBR-Karnal,GID9284251,6.220155465
IIWBR-Karnal,GID9284432,5.14468924
IIWBR-Karnal,GID9284619,5.535700019
IIWBR-Karnal,GID9284955,5.506571023
IIWBR-Karnal,GID9285052,5.899062076
IIWBR-Karnal,GID9285065,5.794847725
IIWBR-Karnal,GID9285175,5.573478548
IIWBR-Karnal,GID9285302,5.874684178
IIWBR-Karnal,GID9285357,6.403548987
IIWBR-Karnal,GID9285370,6.35825166
IIWBR-Karnal,GID9285557,6.016792404
IIWBR-Karnal,GID9285643,6.155602302
IIWBR-Karnal,GID9285656,6.033687919
IIWBR-Karnal,GID9285664,5.799741999
IIWBR-Karnal,GID9286014,5.95345526
IIWBR-Karnal,GID9286243,5.726756464
IIWBR-Karnal,GID9286342,6.338108517
IIWBR-Karnal,GID9286563,6.133352546
IIWBR-Karnal,GID9286765,6.175255988
IIWBR-Karnal,GID9286775,5.463847652
IIWBR-Karnal,GID9286955,6.503293903
IIWBR-Karnal,GID9287034,5.904555316
IIWBR-Karnal,GID9287186,5.824883277
IIWBR-Karnal,GID9287217,6.010204572
IIWBR-Karnal,GID9287268,6.196126392
IIWBR-Karnal,GID9287381,5.352045627
IIWBR-Karnal,GID9287490,5.967984757
IIWBR-Karnal,GID9287587,5.599284383
IIWBR-Karnal,GID9287897,5.678926629
IIWBR-Karnal,GID9287905,5.880211034
IIWBR-Karnal,GID9287911,5.905572967
IIWBR-Karnal,GID9288103,5.53995634
IIWBR-Karnal,GID9288206,5.886018322
IIWBR-Karnal,GID9288209,6.076700229
IIWBR-Karnal,GID9289097,6.066164797
IIWBR-Karnal,GID9289112,6.212366265
IIWBR-Karnal,GID9289166,5.856359214
IIWBR-Karnal,GID9289175,5.949130337
IIWBR-Karnal,GID9289851,6.149668995
IIWBR-Karnal,GID9289875,5.40410414
IIWBR-Karnal,GID9289999,6.141241408
IIWBR-Karnal,GID9290016,6.076659647
IIWBR-Karnal,GID9290028,5.838783517
IIWBR-Karnal,GID9290145,5.601077141
IIWBR-Karnal,GID9290226,5.693130452
IIWBR-Karnal,GID9290370,5.785640712
IIWBR-Karnal,GID9290382,6.179152331
IIWBR-Karnal,GID9290383,6.339369476
IIWBR-Karnal,GID9290650,5.62948906
IIWBR-Karnal,GID9290790,6.120717875
IIWBR-Karnal,GID9290958,5.88231919
IIWBR-Karnal,GID9290994,5.573331123
IIWBR-Karnal,GID9291154,6.196076489
IIWBR-Karnal,GID9291167,6.272578494
IIWBR-Karnal,GID9291221,6.234243907
IIWBR-Karnal,GID9291320,5.837464847
IIWBR-Karnal,GID9291337,5.981282687
IIWBR-Karnal,GID9291462,6.071900456
IIWBR-Karnal,GID9291538,5.931952129
IIWBR-Karnal,GID9291629,6.046866232
IIWBR-Karnal,GID9292004,5.073310614
IIWBR-Karnal,GID9292006,5.340581083
IIWBR-Karnal,GID9292142,5.703595704
IIWBR-Karnal,GID9292174,6.033956831
IIWBR-Karnal,GID9292175,5.772700588
IIWBR-Karnal,GID9292377,5.722908778
IIWBR-Karnal,GID9292459,5.825754975
